# conv_wav	tgt_wav	sample_id	system	pair
audio/conv/lb0/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb0	jvs092-jvs097
audio/conv/lb1/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb1	jvs092-jvs097
audio/conv/lb4/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	lb4	jvs092-jvs098
audio/conv/lb16/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	lb16	jvs092-jvs098
audio/conv/lb64/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	lb64	jvs092-jvs098
audio/conv/lb256/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	lb256	jvs092-jvs098
audio/conv/noncausal/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	noncausal	jvs092-jvs099
audio/conv/la0/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	la0	jvs092-jvs099
audio/conv/la1/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	la1	jvs092-jvs099
audio/conv/la2/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	la2	jvs092-jvs099
audio/conv/la4/jvs093_jvs096_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs093_jvs096_VA099	la4	jvs093-jvs096
audio/conv/la8/jvs093_jvs096_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs093_jvs096_VA099	la8	jvs093-jvs096
audio/conv/lb0/jvs093_jvs096_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs093_jvs096_VA099	lb0	jvs093-jvs096
audio/conv/lb1/jvs093_jvs096_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs093_jvs096_VA099	lb1	jvs093-jvs096
audio/conv/lb4/jvs093_jvs097_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs093_jvs097_VA100	lb4	jvs093-jvs097
audio/conv/lb16/jvs093_jvs097_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs093_jvs097_VA100	lb16	jvs093-jvs097
audio/conv/lb64/jvs093_jvs097_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs093_jvs097_VA100	lb64	jvs093-jvs097
audio/conv/lb256/jvs093_jvs097_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs093_jvs097_VA100	lb256	jvs093-jvs097
audio/conv/noncausal/jvs093_jvs098_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs093_jvs098_VA091	noncausal	jvs093-jvs098
audio/conv/la0/jvs093_jvs098_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs093_jvs098_VA091	la0	jvs093-jvs098
audio/conv/la1/jvs093_jvs098_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs093_jvs098_VA091	la1	jvs093-jvs098
audio/conv/la2/jvs093_jvs098_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs093_jvs098_VA091	la2	jvs093-jvs098
audio/conv/la4/jvs093_jvs099_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs093_jvs099_VA092	la4	jvs093-jvs099
audio/conv/la8/jvs093_jvs099_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs093_jvs099_VA092	la8	jvs093-jvs099
audio/conv/lb0/jvs093_jvs099_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs093_jvs099_VA092	lb0	jvs093-jvs099
audio/conv/lb1/jvs093_jvs099_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs093_jvs099_VA092	lb1	jvs093-jvs099
audio/conv/lb4/jvs094_jvs096_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs094_jvs096_VA093	lb4	jvs094-jvs096
audio/conv/lb16/jvs094_jvs096_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs094_jvs096_VA093	lb16	jvs094-jvs096
audio/conv/lb64/jvs094_jvs096_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs094_jvs096_VA093	lb64	jvs094-jvs096
audio/conv/lb256/jvs094_jvs096_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs094_jvs096_VA093	lb256	jvs094-jvs096
audio/conv/noncausal/jvs094_jvs097_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs094_jvs097_VA094	noncausal	jvs094-jvs097
audio/conv/la0/jvs094_jvs097_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs094_jvs097_VA094	la0	jvs094-jvs097
audio/conv/la1/jvs094_jvs097_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs094_jvs097_VA094	la1	jvs094-jvs097
audio/conv/la2/jvs094_jvs097_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs094_jvs097_VA094	la2	jvs094-jvs097
audio/conv/la4/jvs094_jvs098_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs094_jvs098_VA095	la4	jvs094-jvs098
audio/conv/la8/jvs094_jvs098_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs094_jvs098_VA095	la8	jvs094-jvs098
audio/conv/lb0/jvs094_jvs098_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs094_jvs098_VA095	lb0	jvs094-jvs098
audio/conv/lb1/jvs094_jvs098_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs094_jvs098_VA095	lb1	jvs094-jvs098
audio/conv/lb4/jvs094_jvs099_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs094_jvs099_VA096	lb4	jvs094-jvs099
audio/conv/lb16/jvs094_jvs099_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs094_jvs099_VA096	lb16	jvs094-jvs099
audio/conv/lb64/jvs094_jvs099_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs094_jvs099_VA096	lb64	jvs094-jvs099
audio/conv/lb256/jvs094_jvs099_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs094_jvs099_VA096	lb256	jvs094-jvs099
audio/conv/noncausal/jvs095_jvs096_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs095_jvs096_VA097	noncausal	jvs095-jvs096
audio/conv/la0/jvs095_jvs096_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs095_jvs096_VA097	la0	jvs095-jvs096
audio/conv/la1/jvs095_jvs096_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs095_jvs096_VA097	la1	jvs095-jvs096
audio/conv/la2/jvs095_jvs096_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs095_jvs096_VA097	la2	jvs095-jvs096
audio/conv/la4/jvs095_jvs097_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs095_jvs097_VA098	la4	jvs095-jvs097
audio/conv/la8/jvs095_jvs097_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs095_jvs097_VA098	la8	jvs095-jvs097
audio/conv/lb0/jvs095_jvs097_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs095_jvs097_VA098	lb0	jvs095-jvs097
audio/conv/lb1/jvs095_jvs097_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs095_jvs097_VA098	lb1	jvs095-jvs097
audio/conv/lb4/jvs095_jvs098_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs095_jvs098_VA099	lb4	jvs095-jvs098
audio/conv/lb16/jvs095_jvs098_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs095_jvs098_VA099	lb16	jvs095-jvs098
audio/conv/lb64/jvs095_jvs098_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs095_jvs098_VA099	lb64	jvs095-jvs098
audio/conv/lb256/jvs095_jvs098_parallel_VOICEACTRESS100_099.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs095_jvs098_VA099	lb256	jvs095-jvs098
audio/conv/noncausal/jvs095_jvs099_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs095_jvs099_VA100	noncausal	jvs095-jvs099
audio/conv/la0/jvs095_jvs099_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs095_jvs099_VA100	la0	jvs095-jvs099
audio/conv/la1/jvs095_jvs099_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs095_jvs099_VA100	la1	jvs095-jvs099
audio/conv/la2/jvs095_jvs099_parallel_VOICEACTRESS100_100.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs095_jvs099_VA100	la2	jvs095-jvs099
